SampleID,Zip Code,Ward,Pb Bottle 1 (ppb) - First Draw,Pb Bottle 1 in mg/L,Pb Bottle 2 (ppb) - 45 secs flushing,Pb Bottle 2 in mg/L,Pb Bottle 3 (ppb) - 2 mins flushing,Pb Bottle 3 in mg/L,Notes
141,48505,1,1.799,0.001799,0.032,3.2e-05,0.031,3.1e-05,
142,48503,8,1.861,0.001861,1.355,0.001355,0.64,0.00064,
143,48503,8,2.672,0.0026720000000000003,2.001,0.0020009999999999997,1.094,0.0010940000000000001,
144,48505,1,3.741,0.003741,1.211,0.001211,0.258,0.000258,
145,48506,4,1.934,0.001934,0.374,0.000374,0.424,0.000424,
147,48506,4,1.174,0.001174,0.291,0.00029099999999999997,4.055,0.004055,
148,48507,9,2.325,0.0023250000000000002,1.099,0.001099,0.466,0.00046600000000000005,
149,48506,4,1.966,0.001966,0.253,0.000253,0.201,0.000201,
150,48506,4,1.959,0.0019590000000000002,0.438,0.000438,0.448,0.000448,
151,48506,4,0.823,0.000823,1.881,0.001881,0.412,0.000412,
153,48504,2,5.668,0.005668,3.341,0.0033410000000000002,3.268,0.0032679999999999996,
154,48506,4,6.261,0.006261,1.316,0.0013160000000000001,0.5,0.0005,
155,48506,4,4.797,0.004797,1.594,0.0015940000000000001,1.264,0.001264,
156,48506,4,0.64,0.00064,0.905,0.000905,0.151,0.00015099999999999998,
159,48507,9,2.544,0.0025440000000000003,1.099,0.001099,0.498,0.000498,
161,48507,9,0.41,0.00041,0.096,9.6e-05,0.116,0.000116,
165,48507,9,2.435,0.002435,8.183,0.008183,1.296,0.001296,
166,48507,9,2.997,0.002997,1.867,0.001867,1.512,0.001512,
169,48503,8,8.8,0.0088,3.1,0.0031,4.5,0.0045,
170,48504,6,8.071,0.008071,0.947,0.0009469999999999999,0.839,0.000839,
171,48507,9,3.262,0.003262,0.453,0.000453,0.252,0.000252,
172,48503,8,2.267,0.002267,0.541,0.000541,0.391,0.000391,
173,48505,3,0.922,0.0009220000000000001,0.878,0.000878,0.491,0.000491,
176,48503,8,0.906,0.000906,0.961,0.0009609999999999999,1.052,0.001052,
177,48507,9,2.85,0.00285,6.862,0.006862,0.951,0.0009509999999999999,
178,48504,2,1.852,0.0018520000000000001,0.472,0.000472,0.422,0.000422,
179,48506,4,5.35,0.00535,1.328,0.001328,0.595,0.0005949999999999999,
182,48504,6,15.55,0.015550000000000001,3.962,0.003962,1.861,0.001861,
183,48506,4,0.793,0.0007930000000000001,0.533,0.000533,0.391,0.000391,
184,48506,4,5.068,0.005068,0.683,0.000683,0.489,0.000489,
186,48506,4,1.867,0.001867,0.165,0.000165,0.175,0.000175,
193,48507,8,2.9,0.0029,0.6,0.0006,0.7,0.0007,
194,48503,7,18.86,0.01886,5.051,0.005051,2.548,0.002548,
195,48507,9,2.816,0.002816,0.324,0.000324,0.362,0.00036199999999999996,
198,48503,7,1.2,0.0012,0.1,0.0001,0.1,0.0001,
200,48506,4,4.681,0.004681,0.755,0.000755,0.456,0.000456,
201,48506,3,11.57,0.01157,6.08,0.00608,1.782,0.001782,
202,48532,8,6.557,0.006557,0.289,0.000289,0.371,0.000371,
203,48505,3,3.4,0.0034,9.6,0.0096,1.7,0.0017,
204,48504,6,0.7,0.0007,0.2,0.0002,0.2,0.0002,
206,48506,4,0.977,0.000977,0.47,0.00047,0.381,0.000381,
207,48503,8,8.471,0.008471,4.692,0.004692,1.48,0.00148,
209,48503,7,5.228,0.005228,2.477,0.002477,1.014,0.001014,
210,48507,9,0.956,0.0009559999999999999,0.196,0.00019600000000000002,0.157,0.000157,
211,48504,6,1.671,0.001671,0.405,0.00040500000000000003,4.721,0.004721,
212,48507,9,1.152,0.0011519999999999998,0.708,0.000708,0.282,0.00028199999999999997,
213,48507,9,0.5,0.0005,0.1,0.0001,0.1,0.0001,
214,48503,5,10.74,0.01074,2.331,0.002331,1.628,0.0016279999999999999,
215,48507,9,3.9,0.0039,0.4,0.0004,0.2,0.0002,
216,48507,9,2.149,0.002149,0.368,0.000368,0.333,0.000333,
217,48506,4,1.1,0.0011,0.4,0.0004,0.2,0.0002,
218,48507,9,7.087,0.0070869999999999995,9.467,0.009467,1.28,0.00128,
219,48505,1,1.329,0.0013289999999999999,0.609,0.000609,0.527,0.000527,
220,48507,9,6.2,0.0062,0.7,0.0007,0.6,0.0006,
221,48505,3,0.8,0.0008,0.26,0.00026000000000000003,0.255,0.000255,
222,48503,8,9.3,0.009300000000000001,9.7,0.009699999999999999,5.0,0.005,
223,48504,2,2.1,0.0021000000000000003,1.2,0.0012,0.5,0.0005,
224,48505,1,4.563,0.004562999999999999,3.106,0.003106,2.997,0.002997,
225,48504,2,4.808,0.004808,6.196,0.006196,1.523,0.0015229999999999998,
226,48504,2,0.753,0.000753,2.526,0.0025259999999999996,0.549,0.000549,
227,48505,1,1.862,0.0018620000000000002,1.213,0.001213,0.898,0.000898,
228,48503,7,1.183,0.001183,0.366,0.000366,0.201,0.000201,
229,48503,7,8.2,0.008199999999999999,3.2,0.0032,2.6,0.0026,
230,48504,6,3.679,0.003679,0.498,0.000498,0.288,0.00028799999999999995,
231,48505,1,2.37,0.00237,7.333,0.007333,3.797,0.003797,
234,48504,2,0.828,0.000828,1.318,0.0013180000000000002,0.233,0.00023300000000000003,
235,48503,7,0.719,0.000719,0.254,0.000254,0.058,5.8e-05,
236,48504,1,2.822,0.002822,1.221,0.001221,0.258,0.000258,
237,48504,8,2.867,0.002867,0.723,0.000723,0.744,0.000744,
238,48503,7,2.332,0.002332,3.588,0.003588,1.221,0.001221,
240,48503,8,4.401,0.0044009999999999995,2.111,0.002111,1.572,0.001572,
241,48504,6,2.708,0.0027080000000000003,2.238,0.002238,0.809,0.000809,
243,48503,7,5.218,0.0052179999999999995,2.614,0.002614,0.831,0.0008309999999999999,
245,48504,6,3.045,0.003045,2.744,0.0027440000000000003,0.299,0.000299,
246,48503,7,1.1,0.0011,0.5,0.0005,0.3,0.0003,
247,48503,7,1.386,0.0013859999999999999,0.288,0.00028799999999999995,0.432,0.000432,
248,48504,6,0.915,0.000915,0.354,0.000354,0.306,0.000306,
249,48504,6,2.145,0.002145,0.345,0.000345,3.738,0.003738,
250,48507,8,4.056,0.004056,0.547,0.0005470000000000001,0.378,0.000378,
251,48503,7,1.668,0.001668,1.508,0.001508,2.72,0.00272,
252,48503,7,7.575,0.007575,1.362,0.0013620000000000001,1.094,0.0010940000000000001,
253,48507,8,5.59,0.0055899999999999995,4.306,0.004306,2.019,0.002019,
254,48503,5,0.708,0.000708,0.326,0.000326,0.303,0.000303,
255,48504,6,1.701,0.001701,4.397,0.004397,1.287,0.001287,
256,48504,6,1.467,0.001467,0.149,0.000149,0.137,0.00013700000000000002,
263,48504,6,2.433,0.002433,1.334,0.0013340000000000001,1.376,0.0013759999999999998,
264,48503,7,0.5,0.0005,0.2,0.0002,0.5,0.0005,
266,48505,1,12.3,0.0123,0.5,0.0005,0.4,0.0004,
267,48504,6,3.445,0.0034449999999999997,0.29,0.00029,0.167,0.00016700000000000002,
269,48503,7,3.365,0.0033650000000000004,2.45,0.0024500000000000004,1.675,0.001675,
270,48503,7,1.154,0.0011539999999999999,0.176,0.000176,0.12,0.00011999999999999999,
272,48504,6,2.229,0.002229,1.573,0.001573,0.84,0.0008399999999999999,
274,48503,7,6.601,0.006601,1.929,0.001929,0.417,0.000417,
275,48507,9,0.948,0.000948,0.27,0.00027,0.207,0.000207,
276,48505,3,3.484,0.003484,0.434,0.000434,0.306,0.000306,
278,48503,7,1.888,0.001888,0.359,0.000359,0.322,0.000322,
280,48504,6,6.27,0.0062699999999999995,4.036,0.004036,1.182,0.0011819999999999999,
